-0 , 10 , -1.49012e-008 | 0 , 9 , 0.1 | 0.0587785 , 9 , 0.0809017
-0 , 10 , -1.49012e-008 | 0.0587785 , 9 , 0.0809017 | -8.75868e-009 , 10 , -1.20553e-008
-8.75868e-009 , 10 , -1.20553e-008 | 0.0587785 , 9 , 0.0809017 | 0.0951056 , 9 , 0.0309017
-8.75868e-009 , 10 , -1.20553e-008 | 0.0951056 , 9 , 0.0309017 | -1.41718e-008 , 10 , -4.60471e-009
-1.41718e-008 , 10 , -4.60471e-009 | 0.0951056 , 9 , 0.0309017 | 0.0951056 , 9 , -0.0309017
-1.41718e-008 , 10 , -4.60471e-009 | 0.0951056 , 9 , -0.0309017 | -1.41718e-008 , 10 , 4.60471e-009
-1.41718e-008 , 10 , 4.60471e-009 | 0.0951056 , 9 , -0.0309017 | 0.0587785 , 9 , -0.0809017
-1.41718e-008 , 10 , 4.60471e-009 | 0.0587785 , 9 , -0.0809017 | -8.75868e-009 , 10 , 1.20553e-008
-8.75868e-009 , 10 , 1.20553e-008 | 0.0587785 , 9 , -0.0809017 | -8.74228e-009 , 9 , -0.1
-8.75868e-009 , 10 , 1.20553e-008 | -8.74228e-009 , 9 , -0.1 | 1.3027e-015 , 10 , 1.49012e-008
1.3027e-015 , 10 , 1.49012e-008 | -8.74228e-009 , 9 , -0.1 | -0.0587785 , 9 , -0.0809017
1.3027e-015 , 10 , 1.49012e-008 | -0.0587785 , 9 , -0.0809017 | 8.75868e-009 , 10 , 1.20553e-008
8.75868e-009 , 10 , 1.20553e-008 | -0.0587785 , 9 , -0.0809017 | -0.0951056 , 9 , -0.0309017
8.75868e-009 , 10 , 1.20553e-008 | -0.0951056 , 9 , -0.0309017 | 1.41718e-008 , 10 , 4.60471e-009
1.41718e-008 , 10 , 4.60471e-009 | -0.0951056 , 9 , -0.0309017 | -0.0951056 , 9 , 0.0309017
1.41718e-008 , 10 , 4.60471e-009 | -0.0951056 , 9 , 0.0309017 | 1.41718e-008 , 10 , -4.60471e-009
1.41718e-008 , 10 , -4.60471e-009 | -0.0951056 , 9 , 0.0309017 | -0.0587785 , 9 , 0.0809017
1.41718e-008 , 10 , -4.60471e-009 | -0.0587785 , 9 , 0.0809017 | 8.75868e-009 , 10 , -1.20553e-008
8.75868e-009 , 10 , -1.20553e-008 | -0.0587785 , 9 , 0.0809017 | 1.74846e-008 , 9 , 0.1
8.75868e-009 , 10 , -1.20553e-008 | 1.74846e-008 , 9 , 0.1 | -2.6054e-015 , 10 , -1.49012e-008
0 , 9 , 0.1 | 0 , 8 , 0.2 | 0.117557 , 8 , 0.161803
0 , 9 , 0.1 | 0.117557 , 8 , 0.161803 | 0.0587785 , 9 , 0.0809017
0.0587785 , 9 , 0.0809017 | 0.117557 , 8 , 0.161803 | 0.190211 , 8 , 0.0618034
0.0587785 , 9 , 0.0809017 | 0.190211 , 8 , 0.0618034 | 0.0951056 , 9 , 0.0309017
0.0951056 , 9 , 0.0309017 | 0.190211 , 8 , 0.0618034 | 0.190211 , 8 , -0.0618034
0.0951056 , 9 , 0.0309017 | 0.190211 , 8 , -0.0618034 | 0.0951056 , 9 , -0.0309017
0.0951056 , 9 , -0.0309017 | 0.190211 , 8 , -0.0618034 | 0.117557 , 8 , -0.161803
0.0951056 , 9 , -0.0309017 | 0.117557 , 8 , -0.161803 | 0.0587785 , 9 , -0.0809017
0.0587785 , 9 , -0.0809017 | 0.117557 , 8 , -0.161803 | -1.74846e-008 , 8 , -0.2
0.0587785 , 9 , -0.0809017 | -1.74846e-008 , 8 , -0.2 | -8.74228e-009 , 9 , -0.1
-8.74228e-009 , 9 , -0.1 | -1.74846e-008 , 8 , -0.2 | -0.117557 , 8 , -0.161803
-8.74228e-009 , 9 , -0.1 | -0.117557 , 8 , -0.161803 | -0.0587785 , 9 , -0.0809017
-0.0587785 , 9 , -0.0809017 | -0.117557 , 8 , -0.161803 | -0.190211 , 8 , -0.0618034
-0.0587785 , 9 , -0.0809017 | -0.190211 , 8 , -0.0618034 | -0.0951056 , 9 , -0.0309017
-0.0951056 , 9 , -0.0309017 | -0.190211 , 8 , -0.0618034 | -0.190211 , 8 , 0.0618034
-0.0951056 , 9 , -0.0309017 | -0.190211 , 8 , 0.0618034 | -0.0951056 , 9 , 0.0309017
-0.0951056 , 9 , 0.0309017 | -0.190211 , 8 , 0.0618034 | -0.117557 , 8 , 0.161803
-0.0951056 , 9 , 0.0309017 | -0.117557 , 8 , 0.161803 | -0.0587785 , 9 , 0.0809017
-0.0587785 , 9 , 0.0809017 | -0.117557 , 8 , 0.161803 | 3.49691e-008 , 8 , 0.2
-0.0587785 , 9 , 0.0809017 | 3.49691e-008 , 8 , 0.2 | 1.74846e-008 , 9 , 0.1
0 , 8 , 0.2 | 0 , 7 , 0.3 | 0.176336 , 7 , 0.242705
0 , 8 , 0.2 | 0.176336 , 7 , 0.242705 | 0.117557 , 8 , 0.161803
0.117557 , 8 , 0.161803 | 0.176336 , 7 , 0.242705 | 0.285317 , 7 , 0.0927051
0.117557 , 8 , 0.161803 | 0.285317 , 7 , 0.0927051 | 0.190211 , 8 , 0.0618034
0.190211 , 8 , 0.0618034 | 0.285317 , 7 , 0.0927051 | 0.285317 , 7 , -0.0927051
0.190211 , 8 , 0.0618034 | 0.285317 , 7 , -0.0927051 | 0.190211 , 8 , -0.0618034
0.190211 , 8 , -0.0618034 | 0.285317 , 7 , -0.0927051 | 0.176336 , 7 , -0.242705
0.190211 , 8 , -0.0618034 | 0.176336 , 7 , -0.242705 | 0.117557 , 8 , -0.161803
0.117557 , 8 , -0.161803 | 0.176336 , 7 , -0.242705 | -2.62268e-008 , 7 , -0.3
0.117557 , 8 , -0.161803 | -2.62268e-008 , 7 , -0.3 | -1.74846e-008 , 8 , -0.2
-1.74846e-008 , 8 , -0.2 | -2.62268e-008 , 7 , -0.3 | -0.176336 , 7 , -0.242705
-1.74846e-008 , 8 , -0.2 | -0.176336 , 7 , -0.242705 | -0.117557 , 8 , -0.161803
-0.117557 , 8 , -0.161803 | -0.176336 , 7 , -0.242705 | -0.285317 , 7 , -0.0927051
-0.117557 , 8 , -0.161803 | -0.285317 , 7 , -0.0927051 | -0.190211 , 8 , -0.0618034
-0.190211 , 8 , -0.0618034 | -0.285317 , 7 , -0.0927051 | -0.285317 , 7 , 0.0927051
-0.190211 , 8 , -0.0618034 | -0.285317 , 7 , 0.0927051 | -0.190211 , 8 , 0.0618034
-0.190211 , 8 , 0.0618034 | -0.285317 , 7 , 0.0927051 | -0.176335 , 7 , 0.242705
-0.190211 , 8 , 0.0618034 | -0.176335 , 7 , 0.242705 | -0.117557 , 8 , 0.161803
-0.117557 , 8 , 0.161803 | -0.176335 , 7 , 0.242705 | 5.24537e-008 , 7 , 0.3
-0.117557 , 8 , 0.161803 | 5.24537e-008 , 7 , 0.3 | 3.49691e-008 , 8 , 0.2
